country,pneumonia
Afghanistan,57.32001573
Albania,2.300596853
Algeria,5.184335022
Angola,38.65969388
Argentina,0.922739433
Armenia,2.589903622
Australia,0.112242684
Austria,0.039546533
Azerbaijan,6.475167461
Bahamas,0.885582713
Bahrain,0.143102461
Bangladesh,5.802817345
Barbados,0.349772648
Belarus,0.103836769
Belgium,0.042035175
Belize,2.017484869
Benin,16.40653804
Bhutan,15.39400515
Bolivia,8.630596759
Bosnia and Herzegovina,1.42599383
Botswana,2.160238897
Brazil,1.669317348
Brunei,0.128617363
Bulgaria,2.036015463
Burkina Faso,26.95938334
Burundi,24.19319967
Cambodia,23.62856352
Cameroon,20.38657536
Canada,0.02265615
Cape Verde,2.658690595
Central African Rep.,27.82667437
Chad,32.85723744
Chile,0.417962017
China,3.107964245
Colombia,1.914054802
Comoros,19.95524058
"Congo, Rep.",17.39387736
Costa Rica,0.344663026
Cote d'Ivoire,12.51056284
Croatia,0.118567702
Cuba,0.357422473
Cyprus,0.100796291
Czech Rep.,0.1833315
"Korea, Dem. Rep.",9.221223791
"Congo, Dem. Rep.",30.53257636
Denmark,0.048131688
Djibouti,14.34951617
Dominican Rep.,4.086038773
Ecuador,3.030205919
Egypt,1.467928152
El Salvador,1.849826277
Equatorial Guinea,14.04404724
Eritrea,9.503197029
Estonia,0.06275888
Ethiopia,12.76813801
Fiji,1.583979182
Finland,0.084731401
France,0.065182284
Gabon,6.069035276
Gambia,11.57195234
Georgia,4.082493196
Germany,0.060068899
Ghana,5.431485166
Greece,0.253069641
Grenada,0.497017893
Guatemala,5.918323164
Guinea,17.02573622
Guinea-Bissau,30.28484373
Guyana,8.882689767
Haiti,12.83018039
Honduras,4.108304431
Hungary,0.344834581
Iceland,0
India,7.564715759
Indonesia,7.267073297
Iran,3.696855007
Iraq,6.01127047
Ireland,0
Israel,0.071483716
Italy,0.05495512
Jamaica,6.278625954
Japan,0.208919711
Jordan,1.178997279
Kazakhstan,4.272577284
Kenya,18.69877355
Kuwait,0.348641268
Kyrgyzstan,7.001438538
Laos,15.5239632
Latvia,0.302650352
Lebanon,0.576307688
Lesotho,8.559826107
Liberia,19.58263142
Libya,0.89941538
Lithuania,0.286478228
Luxembourg,0
Madagascar,19.36894857
Malawi,10.42846404
Malaysia,0.177976983
Maldives,3.144104803
Mali,25.13690421
Malta,0.543478261
Mauritania,16.58917026
Mauritius,1.050187928
Mexico,1.901749453
"Micronesia, Fed. Sts.",10.04304161
Mongolia,9.911761151
Montenegro,0.395621786
Morocco,3.415572101
Mozambique,16.05592248
Myanmar,14.03449243
Namibia,3.915493437
Nepal,5.230049759
Netherlands,0.064838929
New Zealand,0.171641407
Nicaragua,4.086589984
Niger,28.4746483
Nigeria,26.77112294
Norway,0
Oman,0.374782056
Pakistan,9.784837016
Panama,2.737265301
Papua New Guinea,13.44584928
Paraguay,3.448589982
Peru,2.417271669
Philippines,6.058231479
Poland,0.265961734
Portugal,0.086014928
Qatar,0.267040523
"Korea, Rep.",0.172694364
Moldova,2.670761835
Romania,3.263032232
Russia,0.560387586
Rwanda,13.81861854
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,3.798670465
Sao Tome and Principe,22.15312864
Saudi Arabia,1.257993678
Senegal,13.40212324
Serbia,0.349293118
Sierra Leone,31.27170401
Singapore,0.32271077
Slovak Republic,0.764317301
Slovenia,0
Solomon Islands,7.326478149
Somalia,33.004252
South Africa,3.780649051
Spain,0.067171881
Sri Lanka,1.009628407
Sudan,10.12376144
Suriname,2.455494168
Swaziland,7.562785388
Sweden,0.07456218
Switzerland,0.041341675
Syria,1.328325006
Tajikistan,12.11398346
Thailand,0.489341467
"Macedonia, FYR",0.6294115
Togo,9.057536745
Tonga,2.097168822
Trinidad and Tobago,0.859323662
Tunisia,1.436500562
Turkey,1.852248847
Turkmenistan,9.867440158
Uganda,16.06200188
Ukraine,0.122074304
United Arab Emirates,0.127864975
United Kingdom,0.153433478
Tanzania,12.4304706
United States,0.178680871
Uruguay,0.953213123
Uzbekistan,6.313122185
Vanuatu,6.227002547
Venezuela,1.319911449
Vietnam,0.656069142
"Yemen, Rep.",8.736845963
Zambia,18.79926558
Zimbabwe,11.34775057
